Time,Centralized,Distributed,HandoverMeas,HandoverNoMeas,AvgTargets
0,0.0,0.0,0.0,0.0,1.0
1,0.0,0.021213203435596427,0.007071067811865475,0.021213203435596427,1.0
2,0.0,0.09192388155425121,0.07071067811865478,0.06363961030678929,1.0
3,0.0,0.02414213562373095,0.007071067811865475,0.027071067811865475,1.0
4,0.0,0.02,0.01,0.02,1.0
5,0.0,0.02,0.01,0.02,1.0
6,0.0,0.02,0.01,0.02,1.0
7,0.0,0.02,0.01,0.02,1.0
8,0.0,0.02,0.01,0.02,1.0
9,0.0,0.02,0.01,0.02,1.0
10,0.0,0.02,0.01,0.02,1.0
11,0.0,0.02,0.04,0.05,1.0
12,0.0,0.02,0.04,0.05,1.0
13,0.0,0.02,0.05707106781186548,0.06707106781186548,1.0
14,0.0,0.02,0.06707106781186548,0.07707106781186548,1.0
15,0.0,0.02,0.08121320343559643,0.09121320343559644,1.0
16,0.0,0.02,0.13242640687119286,0.13242640687119286,1.0
17,0.0,0.02,0.16828427124746193,0.16828427124746193,1.0
18,0.0,0.02,0.20535533905932737,0.20535533905932737,1.0
19,0.0,0.02,0.21707106781186547,0.21707106781186547,1.0
20,0.0,0.02,0.284142135623731,0.284142135623731,1.0
21,0.0,0.02,0.3053553390593274,0.3053553390593274,1.0
22,0.0,0.02,0.3612132034355964,0.3612132034355964,1.01
23,0.0,0.02,0.4212132034355964,0.4212132034355964,1.01
24,0.0,0.02,0.47828427124746187,0.46828427124746186,1.02
25,0.0,0.02,0.4882842712474618,0.47828427124746187,1.07
26,0.0,0.02,0.5453553390593274,0.5353553390593274,1.13
27,0.0,0.02,0.6094974746830583,0.5994974746830583,1.26
28,0.0,0.02,0.6241421356237309,0.6141421356237309,1.4
29,0.0,0.02,0.6594974746830583,0.6494974746830583,1.45
30,0.0,0.02,0.6724264068711928,0.6624264068711928,1.62
31,0.0,0.02,0.6965685424949237,0.6865685424949237,1.8
32,0.0,0.04,0.7036396103067892,0.6936396103067892,1.89
33,0.0,0.09,0.7777817459305203,0.7777817459305202,1.96
34,0.0,0.13,0.7877817459305202,0.7877817459305202,2.0
35,0.0,0.24,0.822426406871193,0.832426406871193,2.0
36,0.0,0.31,0.8653553390593274,0.8753553390593274,2.0
37,0.0,0.44,0.8982842712474618,0.9382842712474618,2.0
38,0.0,0.5,0.9370710678118656,0.9670710678118656,2.0
39,0.0,0.55,0.9470710678118656,0.9770710678118655,2.0
40,0.0,0.57,0.9512132034355966,0.9712132034355966,2.0
41,0.0,0.57,0.98,0.99,2.0
42,0.0,0.57,0.99,1.0,2.0
43,0.0,0.57,0.9870710678118655,0.9870710678118655,2.0
44,0.0,0.57,0.964142135623731,0.9941421356237309,2.0
45,0.0,0.57,0.9770710678118655,0.9970710678118655,2.0
46,0.0,0.57,0.9741421356237311,0.9841421356237311,2.0
47,0.0,0.57,0.9570710678118656,0.9770710678118655,2.0
48,0.0,0.57,0.9570710678118656,0.9770710678118655,2.0
49,0.0,0.57,0.9570710678118656,0.9770710678118655,2.0
50,0.0,0.57,0.96,0.98,2.0
51,0.0,0.57,0.9512132034355963,0.9512132034355963,2.0
52,0.0,0.57,0.9641421356237311,0.954142135623731,2.0
53,0.0,0.57,0.9612132034355964,0.9712132034355964,2.0
54,0.0,0.57,0.9770710678118655,0.9870710678118655,2.0
55,0.0,0.57,0.99,0.99,2.0
56,0.0,0.57,0.9970710678118655,0.9870710678118655,2.0
57,0.0,0.57,0.9741421356237311,0.9741421356237311,2.0
58,0.0,0.57,0.9841421356237311,0.9941421356237311,2.0
59,0.0,0.57,0.9770710678118655,0.9970710678118655,2.0
60,0.0,0.57,0.9841421356237309,0.9941421356237309,2.0
61,0.0,0.57,1.0,1.0,2.0
62,0.0,0.57,0.9970710678118655,0.9970710678118655,2.0
63,0.0,0.57,0.99,0.99,1.98
64,0.0,0.57,0.99,0.99,1.81
65,0.0,0.57,0.9870710678118655,0.9870710678118655,1.56
66,0.0,0.58,0.9841421356237311,0.9841421356237311,1.41
67,0.0,0.59,0.9712132034355966,0.9812132034355966,1.16
68,0.0,0.64,0.9712132034355965,0.9812132034355965,1.03
69,0.0,0.71,0.9724264068711929,0.9824264068711929,1.0
70,0.0,0.75,0.9724264068711929,0.9824264068711929,1.0
71,0.0,0.79,0.9824264068711928,0.9824264068711928,1.0
72,0.0,0.82,0.9648528137423856,0.9648528137423856,1.0
73,0.0,0.87,0.9531370849898478,0.9531370849898478,1.0
74,0.0,0.89,0.9589949493661171,0.9589949493661171,1.0
75,0.0,0.94,0.9560660171779825,0.9560660171779825,1.0
76,0.0,0.98,0.9619238815542515,0.9619238815542515,1.0
77,0.0,0.99,0.9736396103067895,0.9736396103067895,1.0
78,0.0,1.0,0.9677817459305206,0.9677817459305206,1.0
79,0.0,1.0,0.9736396103067895,0.9736396103067895,1.0
80,0.0,1.0,0.9677817459305205,0.9677817459305205,1.0
81,0.0,1.0,0.9853553390593275,0.9853553390593275,1.0
82,0.0,1.0,0.9824264068711931,0.9824264068711931,1.0
83,0.0,1.0,0.9970710678118655,0.9970710678118655,1.0
84,0.0,1.0,0.9912132034355966,0.9912132034355966,1.0
85,0.0,1.0,0.9882842712474619,0.9882842712474619,1.0
86,0.0,1.0,0.988284271247462,0.988284271247462,1.0
87,0.0,1.0,0.9970710678118655,0.9970710678118655,1.0
88,0.0,1.0,0.9970710678118655,0.9970710678118655,1.0
89,0.0,1.0,0.9912132034355965,0.9912132034355965,1.0
90,0.0,1.0,0.9912132034355963,0.9912132034355963,1.0
91,0.0,1.0,0.9941421356237311,0.9941421356237311,1.0
92,0.0,1.0,0.9970710678118655,0.9970710678118655,1.0
93,0.0,1.0,0.988284271247462,0.988284271247462,1.0
94,0.0,1.0,0.9941421356237309,0.9941421356237309,1.0
95,0.0,1.0,0.9912132034355966,0.9912132034355966,1.0
96,0.0,1.0,0.9941421356237309,0.9941421356237309,1.0
97,0.0,1.0,0.9941421356237309,0.9941421356237309,1.0
98,0.0,1.0,1.0,1.0,1.0
99,0.0,1.0,0.9941421356237311,0.9941421356237311,1.0
