Time,AvgTargets
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,1.0
30,1.0
31,1.0
32,1.03
33,1.24
34,1.36
35,1.46
36,1.67
37,1.91
38,1.99
39,2.0
40,2.0
41,2.0
42,2.0
43,2.0
44,2.0
45,2.0
46,2.0
47,2.0
48,2.0
49,2.0
50,2.0
51,2.0
52,2.0
53,2.0
54,2.0
55,2.0
56,2.0
57,2.0
58,2.0
59,2.0
60,2.0
61,2.0
62,2.0
63,2.0
64,2.0
65,2.0
66,1.98
67,1.94
68,1.86
69,1.72
70,1.63
71,1.49
72,1.4
73,1.3
74,1.25
75,1.15
76,1.08
77,1.03
78,1.01
79,1.0
80,1.0
81,1.0
82,1.0
83,1.0
84,1.0
85,1.0
86,1.0
87,1.0
88,1.0
89,1.0
90,1.0
91,1.0
92,1.0
93,1.0
94,1.0
95,1.0
96,1.0
97,1.0
98,1.0
99,1.0
